date,all_complaints,noise_complaints,homeless_complaints
2010-01-01,2925,691,2
2010-01-02,3894,456,2
2010-01-03,5635,290,2
2010-01-04,9372,295,2
2010-01-05,8380,322,5
2010-01-06,6994,331,1
2010-01-07,6903,348,3
2010-01-08,6087,468,1
2010-01-09,3979,541,2
2010-01-11,7782,352,3
2010-01-12,7067,273,1
2010-01-13,6950,404,3
2010-01-14,5916,253,4
2010-01-15,5924,539,1
2010-01-16,3217,684,1
2010-01-17,2999,633,1
2010-01-18,4119,419,1
2010-01-19,6197,381,9
2010-01-20,6076,419,5
2010-01-21,6548,425,3
2010-01-22,5991,510,6
2010-01-23,3428,736,2
2010-01-25,8156,377,2
2010-01-27,6638,398,1
2010-01-29,8548,432,1
2010-01-30,6557,748,2
2010-02-01,7991,389,2
2010-02-02,7098,385,3
2010-02-03,6358,361,5
2010-02-04,6114,406,3
2010-02-05,5930,502,1
2010-02-06,3712,633,2
2010-02-07,3699,657,1
2010-02-08,7153,406,2
2010-02-09,6409,359,3
2010-02-11,6276,214,1
2010-02-12,7318,482,5
2010-02-15,4293,541,2
2010-02-16,6200,434,1
2010-02-17,7615,467,3
2010-02-18,6858,461,3
2010-02-19,6405,487,2
2010-02-21,3271,728,3
2010-02-22,6923,363,3
2010-02-23,6969,372,2
2010-02-24,7291,348,4
2010-02-25,6446,331,1
2010-02-27,4495,637,1
2010-02-28,4262,682,2
2010-03-01,7669,340,4
2010-03-02,7149,392,4
2010-03-03,7512,395,5
2010-03-04,6929,357,5
2010-03-05,6307,439,4
2010-03-06,3775,779,4
2010-03-07,3280,635,1
2010-03-09,6766,410,6
2010-03-10,6589,411,1
2010-03-11,6486,416,6
2010-03-12,6155,424,2
2010-03-13,5498,384,3
2010-03-14,6302,358,1
2010-03-15,10064,374,4
2010-03-16,7736,402,3
2010-03-17,7144,467,3
2010-03-18,6810,511,7
2010-03-19,6851,620,3
2010-03-20,3886,981,5
2010-03-21,3486,820,2
2010-03-22,6912,425,7
2010-03-23,7258,419,6
2010-03-24,6794,373,5
2010-03-25,6403,481,2
2010-03-26,6549,450,1
2010-03-27,4076,695,3
2010-03-28,3472,578,3
2010-03-29,7197,390,2
2010-03-30,9648,372,7
2010-03-31,7219,532,6
2010-04-01,6214,531,7
2010-04-02,5060,698,1
2010-04-03,3150,790,5
2010-04-04,2767,869,4
2010-04-05,6611,659,6
2010-04-06,6772,578,7
2010-04-07,6504,542,7
2010-04-08,6506,557,4
2010-04-09,6504,542,4
2010-04-11,2963,918,4
2010-04-12,6759,561,8
2010-04-13,6186,353,7
2010-04-14,6296,614,6
2010-04-15,6398,529,4
2010-04-16,6029,500,3
2010-04-17,3413,778,4
2010-04-18,3093,812,4
2010-04-19,6839,483,4
2010-04-20,6004,396,6
2010-04-21,6274,549,5
2010-04-22,5722,517,6
2010-04-23,5542,630,4
2010-04-24,3458,970,3
2010-04-25,2895,663,2
2010-04-26,6654,417,5
2010-04-27,6257,447,10
2010-04-28,6888,436,1
2010-04-30,5374,730,4
2010-05-01,3272,1010,1
2010-05-02,3222,926,6
2010-05-03,7467,466,5
2010-05-04,6221,589,14
2010-05-05,6290,602,9
2010-05-06,6177,604,3
2010-05-07,5547,661,2
2010-05-08,3906,768,3
2010-05-09,3579,618,1
2010-05-10,7474,434,4
2010-05-11,6803,499,8
2010-05-12,6415,403,5
2010-05-13,5569,502,4
2010-05-14,5639,596,4
2010-05-15,3214,972,5
2010-05-16,2939,988,1
2010-05-17,6576,646,7
2010-05-18,5622,422,5
2010-05-19,6122,524,4
2010-05-20,5691,710,6
2010-05-21,5597,726,8
2010-05-22,3629,1159,7
2010-05-23,2930,980,3
2010-05-24,5989,604,12
2010-05-25,5834,585,9
2010-05-26,5959,592,9
2010-05-27,6396,533,7
2010-05-28,5138,642,4
2010-05-29,3066,1066,3
2010-05-30,2633,1076,1
2010-05-31,3123,1064,5
2010-06-01,5989,475,6
2010-06-02,5956,399,7
2010-06-03,5705,373,4
2010-06-04,5583,525,5
2010-06-05,3198,767,2
2010-06-06,3084,719,2
2010-06-07,6554,533,6
2010-06-08,5867,584,6
2010-06-09,5136,353,5
2010-06-10,5741,610,6
2010-06-11,5001,574,3
2010-06-13,2668,873,3
2010-06-14,6553,535,3
2010-06-15,6433,627,14
2010-06-16,6091,534,11
2010-06-17,5689,514,6
2010-06-18,5209,669,4
2010-06-19,3252,970,4
2010-06-20,2956,904,3
2010-06-21,6754,576,7
2010-06-22,6484,453,9
2010-06-23,6275,367,5
2010-06-24,6415,396,10
2010-06-25,5958,534,5
2010-06-26,3381,856,4
2010-06-27,3170,630,6
2010-06-28,7266,340,11
2010-06-29,6594,312,8
2010-06-30,5852,449,11
2010-07-01,5563,564,7
2010-07-02,4997,594,8
2010-07-03,2971,832,3
2010-07-04,2262,697,4
2010-07-05,3890,572,6
2010-07-06,7529,292,6
