date,stock_deviation,all_complaints,noise_complaints,homeless_complaints,tmin,tmax,tavg,prcp
2010-01-04,24.357854530775512,9372,295,2,-6.666666666666668,-0.5666666666666668,,False
2010-01-05,1353.174362478101,8380,322,5,-6.133333333333333,-0.5666666666666668,,False
2010-01-06,-156.01680085648698,6994,331,1,-3.1333333333333333,1.4666666666666668,,False
2010-01-07,1951.4354399419824,6903,348,3,-1.3,3.5,,False
2010-01-08,1125.9422583544438,6087,468,1,-4.8,0.7666666666666667,,True
2010-01-11,-678.4761805694142,7782,352,3,-5.7333333333333325,-0.2,,False
2010-01-12,-922.4339441377087,7067,273,1,-4.233333333333333,2.0666666666666664,,False
2010-01-13,410.3254250787577,6950,404,3,-4.4,2.0333333333333337,,False
2010-01-14,-739.3064895046991,5916,253,4,-1.6666666666666667,5.033333333333333,,False
2010-01-15,-4421.996478994173,5924,539,1,0.3666666666666669,10.0,,False
2010-01-19,-4739.218860814282,6197,381,9,3.1333333333333333,8.533333333333333,,False
2010-01-20,-2444.807591006662,6076,419,5,1.3,5.7666666666666675,,False
2010-01-21,1872.7301694783675,6548,425,3,-0.7666666666666666,5.566666666666666,,False
2010-01-22,414.02096917125886,5991,510,6,0.2,6.866666666666667,,False
2010-01-25,-279.6633143126237,8156,377,2,8.3,12.966666666666667,,True
2010-01-27,-1590.7112398051684,6638,398,1,-0.5666666666666668,4.633333333333334,,False
2010-01-29,-1549.4969036241598,8548,432,1,-8.700000000000001,-4.266666666666667,,False
2010-02-01,-1567.5294133894274,7991,389,2,-3.533333333333333,2.2333333333333334,,False
2010-02-02,-1752.672441284114,7098,385,3,-2.8000000000000003,0.7666666666666667,,True
2010-02-03,-1955.796167118453,6358,361,5,-2.0333333333333337,3.8666666666666663,,True
2010-02-04,-1008.1360149632964,6114,406,3,-1.866666666666667,3.1333333333333333,,False
2010-02-05,1039.7710278589077,5930,502,1,-1.3333333333333333,2.6,,False
2010-02-08,-1797.7263569450154,7153,406,2,-4.8,3.333333333333333,,False
2010-02-09,780.7924173029169,6409,359,3,-1.8333333333333333,5.2,,True
2010-02-11,198.119372881054,6276,214,1,-2.2,2.7999999999999994,,False
2010-02-12,1435.3936092904478,7318,482,5,-3.1333333333333333,2.766666666666667,,False
2010-02-16,1071.3792649493043,6200,434,1,-1.3,0.7666666666666666,,True
2010-02-17,-3110.138794316321,7615,467,3,-2.9333333333333336,1.3,,False
2010-02-18,-1049.2548074190854,6858,461,3,-0.2,4.6000000000000005,,False
2010-02-19,-329.5676507953831,6405,487,2,1.1333333333333333,6.099999999999999,,False
2010-02-22,1844.8761691191248,6923,363,3,-1.6666666666666667,6.866666666666667,,True
2010-02-23,-124.86899235768215,6969,372,2,1.8666666666666665,3.5,,True
2010-02-24,266.90659308212344,7291,348,4,2.4,5.033333333333333,,True
2010-02-25,936.3608818166977,6446,331,1,-2.2333333333333334,2.766666666666667,,True
2010-03-01,-312.2203796832983,7669,340,4,2.4,9.066666666666668,,False
2010-03-02,-1683.5529880719475,7149,392,4,2.033333333333333,8.3,,True
2010-03-03,-299.4846166576317,7512,395,5,1.3,5.566666666666666,,True
2010-03-04,336.7595121692575,6929,357,5,2.0333333333333337,8.5,,False
2010-03-05,-665.8262928304247,6307,439,4,1.3,9.033333333333333,,False
2010-03-09,1966.9730320552624,6766,410,6,6.1000000000000005,16.3,,False
2010-03-10,-495.10595648477465,6589,411,1,4.633333333333334,12.766666666666666,,False
2010-03-11,-194.97390268676102,6486,416,6,5.566666666666666,10.566666666666666,,False
2010-03-12,1396.928479509363,6155,424,2,4.633333333333334,7.400000000000001,,True
2010-03-15,-81.2756210158841,10064,374,4,5.4,7.966666666666666,,True
2010-03-16,-842.1436964448512,7736,402,3,5.366666666666667,16.833333333333332,,False
2010-03-17,128.2346840585451,7144,467,3,4.633333333333333,18.33333333333333,,False
2010-03-18,-171.62433423234324,6810,511,7,7.766666666666667,20.03333333333333,,False
2010-03-19,-0.5559818134861416,6851,620,3,7.400000000000001,21.66666666666667,,False
2010-03-22,1115.259639457785,6912,425,7,9.066666666666668,14.633333333333333,,True
2010-03-23,412.5702160335714,7258,419,6,7.566666666666666,11.333333333333336,,True
2010-03-24,400.16623623952177,6794,373,5,6.3,15.966666666666667,,False
2010-03-25,-2261.3154520280805,6403,481,2,7.033333333333334,15.0,,True
2010-03-26,1272.9134045820538,6549,450,1,1.3,12.033333333333333,,True
2010-03-29,-463.5820231160688,7197,390,2,9.066666666666666,11.5,,True
2010-03-30,-105.20353086235993,9648,372,7,5.7333333333333325,10.733333333333334,,True
2010-03-31,-368.4994404600438,7219,532,6,7.2333333333333325,14.266666666666666,,True
2010-04-01,240.4061529766623,6214,531,7,8.5,19.8,,False
2010-04-05,-196.36773872570484,6611,659,6,12.033333333333333,22.23333333333333,,False
2010-04-06,1195.5339051759731,6772,578,7,12.233333333333334,24.46666666666667,,False
2010-04-07,-878.8980390390496,6504,542,7,11.666666666666664,32.23333333333333,,False
2010-04-08,10.578137928001523,6506,557,4,14.633333333333335,24.3,,False
2010-04-09,753.4399893807057,6504,542,4,7.433333333333334,18.533333333333328,,True
2010-04-12,288.03196746422327,6759,561,8,9.433333333333334,19.233333333333327,,False
2010-04-13,-131.9299711943604,6186,353,7,8.5,13.333333333333336,,False
2010-04-14,-172.44584763402236,6296,614,6,7.400000000000001,19.033333333333328,,False
2010-04-15,-392.7237572103768,6398,529,4,10.166666666666666,22.43333333333333,,False
2010-04-16,-649.3685031382047,6029,500,3,7.966666666666668,12.766666666666667,,True
2010-04-19,-1437.823380677648,6839,483,4,8.5,16.833333333333332,,False
2010-04-20,315.5842524087857,6004,396,6,9.266666666666666,20.366666666666667,,False
2010-04-21,-171.98768268439744,6274,549,5,10.933333333333332,19.666666666666668,,True
2010-04-22,2253.9255281027145,5722,517,6,10.766666666666666,21.1,,True
2010-04-23,-491.1039386096672,5542,630,4,7.2333333333333325,20.0,,False
2010-04-26,-1196.8164250875416,6654,417,5,9.233333333333334,11.866666666666665,,True
2010-04-27,-1055.2258095138968,6257,447,10,5.566666666666666,14.8,,True
2010-04-28,785.6980580889067,6888,436,1,4.8,13.7,,False
2010-04-30,481.5448303778248,5374,730,4,12.566666666666668,24.83333333333333,,False
2010-05-03,-313.44425996741484,7467,466,5,18.3,27.23333333333333,,True
2010-05-04,-1803.2054638381812,6221,589,14,16.099999999999998,27.4,,True
2010-05-05,-262.9974403648594,6290,602,9,13.866666666666665,25.766666666666666,,False
2010-05-06,-3146.993698938597,6177,604,3,13.866666666666665,26.33333333333333,,False
2010-05-07,147.73084455400385,5547,661,2,11.666666666666664,21.866666666666664,,False
2010-05-10,3892.631784091878,7474,434,4,5.566666666666666,16.133333333333336,,False
2010-05-11,-454.7075822718252,6803,499,8,7.033333333333334,13.866666666666667,,True
2010-05-12,669.0847291278698,6415,403,5,7.2333333333333325,9.433333333333332,,True
2010-05-13,-531.1589922909261,5569,502,4,6.833333333333332,19.233333333333334,,False
2010-05-14,-1827.87106450172,5639,596,4,12.6,26.5,,True
2010-05-17,621.5450193827128,6576,646,7,12.4,23.7,,False
2010-05-18,-1106.9486850058456,5622,422,5,10.4,16.5,,True
2010-05-19,-1748.417027624455,6122,524,4,10.566666666666668,18.5,,False
2010-05-20,-3586.331688812643,5691,710,6,13.166666666666664,25.53333333333333,,False
2010-05-21,1941.411382802893,5597,726,8,15.366666666666667,29.399999999999995,,False
2010-05-24,-1590.0740208722345,5989,604,12,15.2,22.96666666666667,,True
2010-05-25,5339.282951452951,5834,585,9,15.366666666666667,26.1,,False
2010-05-26,-1164.7442880590095,5959,592,9,17.933333333333334,33.49999999999999,,False
2010-05-27,-552.8305886258458,6396,533,7,13.7,28.33333333333333,,True
2010-05-28,2703.1537101736317,5138,642,4,13.866666666666667,21.3,,False
2010-06-01,400.7067668075906,5989,475,6,18.5,30.366666666666664,,True
2010-06-02,1029.857625423494,5956,399,7,18.866666666666664,29.46666666666667,,False
2010-06-03,-1944.6763774752178,5705,373,4,18.866666666666664,31.3,,False
2010-06-04,-2448.0834399134988,5583,525,5,21.66666666666667,31.46666666666667,,False
2010-06-07,1392.9340740979605,6554,533,6,14.433333333333332,24.8,,False
2010-06-08,-1404.9380702487758,5867,584,6,15.166666666666664,23.7,,False
2010-06-09,-247.5063898725712,5136,353,5,13.533333333333333,20.566666666666666,,True
2010-06-10,634.6062127391851,5741,610,6,14.6,23.866666666666664,,True
2010-06-11,3037.837838884821,5001,574,3,15.166666666666664,21.866666666666664,,False
2010-06-14,1301.5278908338514,6553,535,3,18.133333333333336,25.366666666666664,,True
2010-06-15,1198.3840038562046,6433,627,14,17.8,26.66666666666667,,False
2010-06-16,925.7440982629267,6091,534,11,17.233333333333334,23.7,,False
2010-06-17,2293.9172746183394,5689,514,6,18.866666666666667,24.26666666666667,,True
2010-06-18,-303.99664924724493,5209,669,4,16.866666666666664,29.633333333333336,,False
2010-06-21,-733.8350567161542,6754,576,7,22.6,31.5,,False
2010-06-22,-424.53182343672233,6484,453,9,21.7,29.100000000000005,,True
2010-06-23,1804.5505161237234,6275,367,5,22.066666666666666,33.13333333333333,,False
2010-06-24,915.5942971786426,6415,396,10,24.399999999999995,34.800000000000004,,True
2010-06-25,1185.013902190789,5958,534,5,21.866666666666664,30.93333333333333,,False
2010-06-28,-895.6773323534143,7266,340,11,24.6,35.4,,True
2010-06-29,-1231.7196678754115,6594,312,8,21.5,32.96666666666667,,False
2010-06-30,-1221.0304124669276,5852,449,11,17.433333333333334,26.66666666666667,,False
2010-07-01,-4648.408739439772,5563,564,7,17.433333333333334,25.73333333333333,,False
2010-07-02,-1086.0517064091764,4997,594,8,16.86666666666667,27.96666666666667,,False
2010-07-06,-701.2400077141501,7529,292,6,25.93333333333333,39.03333333333333,,False
2010-07-07,-542.0230336787498,8008,265,7,26.133333333333336,37.966666666666654,,False
2010-07-08,1576.9106966554682,7093,339,9,24.8,31.33333333333333,,True
2010-07-09,-475.77050344651803,5837,461,10,24.066666666666666,31.66666666666667,,True
2010-07-12,2710.6187047482235,6670,443,6,22.8,33.666666666666664,,False
2010-07-13,-1705.2657217842425,6708,361,5,23.5,28.866666666666664,,True
2010-07-14,143.65901766736349,5820,385,10,22.96666666666667,27.03333333333333,,True
2010-07-15,588.3999002760103,6120,424,6,22.6,30.2,,False
2010-07-16,1241.015427798302,5805,439,8,23.66666666666667,33.166666666666664,,False
2010-07-19,2084.5205871393123,6716,368,8,23.13333333333333,32.93333333333333,,True
2010-07-20,2341.7885620176603,6654,398,11,24.066666666666666,31.7,,False
2010-07-21,-1746.1558545914374,6582,353,11,24.96666666666667,33.5,,False
2010-07-22,2135.383527256381,5723,372,4,23.866666666666664,32.03333333333333,,False
2010-07-23,4188.952928181374,5371,383,6,23.33333333333333,30.766666666666666,,True
2010-07-26,2958.0335121216485,6618,392,12,20.566666666666666,30.96666666666667,,False
